name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,owners_rank,appid
Counter-Strike,2000-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,73.54503,9.17934,70.58887,0.70976,10000000-20000000,0.24244,2.0,10
Team Fortress Classic,1999-04-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,1.37968,1.23832,0.51417,-0.349,5000000-10000000,-0.45535,3.0,20
Day of Defeat,2003-05-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,-0.70668,1.43802,0.54869,0.15036,-0.46526,5000000-10000000,-0.45535,3.0,30
Deathmatch Classic,2001-06-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,0.1622,0.16426,0.43737,0.15754,5000000-10000000,-0.45535,3.0,40
Half-Life: Opposing Force,1999-11-01,0.50962,Gearbox Software,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,-0.70668,2.52988,0.22588,1.91688,1.11666,5000000-10000000,-0.45535,3.0,50
Ricochet,2000-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,1.04628,1.38798,0.10185,-0.56491,5000000-10000000,-0.45535,3.0,60
Half-Life,1998-11-08,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,-0.70668,15.92813,2.60878,4.64953,-0.26181,5000000-10000000,0.24244,3.0,70
Counter-Strike: Condition Zero,2004-03-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,6.6199,3.6036,1.12053,-0.42789,10000000-20000000,0.24244,2.0,80
Half-Life: Blue Shift,2001-06-01,0.50962,Gearbox Software,Valve,windows;mac;linux,-0.51125,Single-player,Action,FPS;Action;Sci-fi,-0.70668,1.67973,0.61325,0.85373,0.24474,5000000-10000000,-0.45535,3.0,130
Half-Life 2,2004-11-16,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,-0.1913,39.82944,6.47951,2.18772,1.06268,10000000-20000000,0.24244,2.0,220
Counter-Strike: Source,2004-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,1.58911,45.03157,9.643,27.05241,1.05438,10000000-20000000,0.24244,2.0,240
Half-Life: Source,2004-06-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player,Action,FPS;Action;Sci-fi,-0.70668,1.64699,2.47085,0.16248,0.2821,2000000-5000000,-1.3254,4.0,280
Day of Defeat: Source,2010-07-12,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,0.13667,5.6489,2.93158,4.8759,-0.05006,5000000-10000000,0.24244,3.0,300
Half-Life 2: Deathmatch,2004-11-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,-0.70668,2.9883,1.69025,0.65161,-0.47356,10000000-20000000,-0.45535,2.0,320
Half-Life 2: Lost Coast,2005-10-27,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Commentary available,Action,FPS;Action;Singleplayer,-0.70668,2.8472,2.37401,-0.41962,-0.48602,10000000-20000000,-1.3254,2.0,340
Half-Life Deathmatch: Source,2006-05-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,-0.70668,0.21518,0.76878,-0.19325,-0.27011,5000000-10000000,-1.3254,3.0,360
Half-Life 2: Episode One,2006-06-01,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,-0.50365,4.11231,0.89791,0.53034,0.15754,5000000-10000000,-0.06284,3.0,380
Portal,2007-10-10,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,-0.47242,30.24379,2.55008,0.55864,-0.0376,10000000-20000000,0.24244,2.0,400
Half-Life 2: Episode Two,2007-10-10,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,-0.36309,7.68081,1.4232,0.82543,0.64333,5000000-10000000,-0.06284,3.0,420
Team Fortress 2,2007-10-10,0.50962,Valve,Valve,windows;mac;linux,-0.51125,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,7.41448,306.53035,99.26262,33.73447,1.98028,20000000-50000000,-1.3254,1.0,440
Left 4 Dead,2008-11-17,0.50962,Valve,Valve,windows;mac,-0.51125,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,0.43341,10.09136,2.16272,3.02045,0.54783,5000000-10000000,0.24244,3.0,500
